# node	parents	values
class	education-spending	0.370967745781,0.629032254219,0.833333313465,0.166666656733
water-project-cost-sharing	superfund-right-to-sue	0.666666686535,0.333333313465,0.433070868254,0.566929161549
adoption-of-the-budget-resolution	aid-to-nicaraguan-contras	0.83185839653,0.168141588569,0.126050412655,0.873949587345
physician-fee-freeze	el-salvador-aid	0.951923072338,0.0480769276619,0.15625,0.84375
el-salvador-aid		0.448275864124,0.551724135876
religious-groups-in-schools	el-salvador-aid	0.711538434029,0.288461536169,0.0703125,0.9296875
anti-satellite-test-ban	aid-to-nicaraguan-contras	0.814159274101,0.185840710998,0.134453773499,0.865546226501
aid-to-nicaraguan-contras	el-salvador-aid	0.0192307699472,0.980769217014,0.8671875,0.1328125
mx-missile	el-salvador-aid	0.0480769276619,0.951923072338,0.890625,0.109375007451
immigration	water-project-cost-sharing	0.368000000715,0.632000029087,0.542056083679,0.457943916321
synfuels-corporation-cutback	physician-fee-freeze	0.521008431911,0.478991597891,0.796460151672,0.203539803624
education-spending	el-salvador-aid	0.951923072338,0.0480769276619,0.195312514901,0.8046875
superfund-right-to-sue	el-salvador-aid	0.817307710648,0.182692319155,0.15625,0.84375
crime	physician-fee-freeze	0.680672287941,0.319327741861,0.0176991131157,0.982300877571
duty-free-exports	el-salvador-aid	0.326923072338,0.673076927662,0.875,0.125
export-administration-act-south-africa	anti-satellite-test-ban	0.388888895512,0.611111104488,0.00806451682001,0.991935491562
