# id	vars	values
marg_class	class	0.586206912994,0.413793116808
marg_water-project-cost-sharing	water-project-cost-sharing	0.53879314661,0.46120685339
marg_adoption-of-the-budget-resolution	adoption-of-the-budget-resolution	0.469827562571,0.530172467232
marg_physician-fee-freeze	physician-fee-freeze	0.51293104887,0.48706895113
marg_el-salvador-aid	el-salvador-aid	0.448275923729,0.551724135876
marg_religious-groups-in-schools	religious-groups-in-schools	0.357758611441,0.642241358757
marg_anti-satellite-test-ban	anti-satellite-test-ban	0.465517252684,0.534482777119
marg_aid-to-nicaraguan-contras	aid-to-nicaraguan-contras	0.48706895113,0.51293104887
marg_mx-missile	mx-missile	0.512930989265,0.487068980932
marg_immigration	immigration	0.448275864124,0.551724135876
marg_synfuels-corporation-cutback	synfuels-corporation-cutback	0.655172467232,0.344827622175
marg_education-spending	education-spending	0.534482777119,0.465517252684
marg_superfund-right-to-sue	superfund-right-to-sue	0.452586233616,0.547413766384
marg_crime	crime	0.357758581638,0.642241418362
marg_duty-free-exports	duty-free-exports	0.629310309887,0.370689660311
marg_export-administration-act-south-africa	export-administration-act-south-africa	0.185344830155,0.814655184746
joint_0_aid-to-nicaraguan-contras_adoption-of-the-budget-resolution	aid-to-nicaraguan-contras,adoption-of-the-budget-resolution	0.405172407627,0.081896558404,0.0646551772952,0.448275893927
joint_1_aid-to-nicaraguan-contras_anti-satellite-test-ban	aid-to-nicaraguan-contras,anti-satellite-test-ban	0.396551728249,0.0905172377825,0.068965524435,0.443965554237
joint_2_anti-satellite-test-ban_export-administration-act-south-africa	anti-satellite-test-ban,export-administration-act-south-africa	0.181034490466,0.284482777119,0.00431034527719,0.530172407627
joint_3_education-spending_class	education-spending,class	0.198275879025,0.336206912994,0.38793104887,0.0775862187147
joint_4_el-salvador-aid_aid-to-nicaraguan-contras	aid-to-nicaraguan-contras,el-salvador-aid	0.00862069055438,0.478448271751,0.439655214548,0.0732758641243
joint_5_el-salvador-aid_duty-free-exports	el-salvador-aid,duty-free-exports	0.146551713347,0.301724106073,0.482758581638,0.068965524435
cond_class_0	class	0.370967715979,0.629032254219
cond_class_1	class	0.833333313465,0.166666686535
cond_water-project-cost-sharing_0	water-project-cost-sharing	0.666666686535,0.333333313465
cond_water-project-cost-sharing_1	water-project-cost-sharing	0.433070898056,0.566929101944
cond_adoption-of-the-budget-resolution_0	adoption-of-the-budget-resolution	0.83185839653,0.168141618371
cond_adoption-of-the-budget-resolution_1	adoption-of-the-budget-resolution	0.126050457358,0.873949587345
cond_physician-fee-freeze_0	physician-fee-freeze	0.951923072338,0.0480769276619
cond_physician-fee-freeze_1	physician-fee-freeze	0.156250014901,0.84375
cond_el-salvador-aid_0	el-salvador-aid	0.448275923729,0.551724135876
cond_el-salvador-aid_1	el-salvador-aid	0.448275923729,0.551724135876
cond_religious-groups-in-schools_0	religious-groups-in-schools	0.711538434029,0.288461565971
cond_religious-groups-in-schools_1	religious-groups-in-schools	0.0703125,0.9296875
cond_anti-satellite-test-ban_0	anti-satellite-test-ban	0.814159274101,0.185840710998
cond_anti-satellite-test-ban_1	anti-satellite-test-ban	0.134453803301,0.865546226501
cond_aid-to-nicaraguan-contras_0	aid-to-nicaraguan-contras	0.0192307699472,0.980769276619
cond_aid-to-nicaraguan-contras_1	aid-to-nicaraguan-contras	0.8671875,0.1328125
cond_multi_0	physician-fee-freeze	0.246168598533,0.753831446171
cond_multi_1	el-salvador-aid,mx-missile	0.0428637713194,0.848702549934,0.0965738147497,0.0118599459529
cond_multi_2	education-spending	0.941629648209,0.0583703555167
cond_multi_3	adoption-of-the-budget-resolution	0.738118171692,0.261881709099
