# id	vars	values
marg_class	class	0.586206896552,0.413793103448
marg_water-project-cost-sharing	water-project-cost-sharing	0.538793103448,0.461206896552
marg_adoption-of-the-budget-resolution	adoption-of-the-budget-resolution	0.469827586207,0.530172413793
marg_physician-fee-freeze	physician-fee-freeze	0.512931034483,0.487068965517
marg_el-salvador-aid	el-salvador-aid	0.448275862069,0.551724137931
marg_religious-groups-in-schools	religious-groups-in-schools	0.35775862069,0.64224137931
marg_anti-satellite-test-ban	anti-satellite-test-ban	0.465517241379,0.534482758621
marg_aid-to-nicaraguan-contras	aid-to-nicaraguan-contras	0.487068965517,0.512931034483
marg_mx-missile	mx-missile	0.512931034483,0.487068965517
marg_immigration	immigration	0.448275862069,0.551724137931
marg_synfuels-corporation-cutback	synfuels-corporation-cutback	0.655172413793,0.344827586207
marg_education-spending	education-spending	0.534482758621,0.465517241379
marg_superfund-right-to-sue	superfund-right-to-sue	0.452586206897,0.547413793103
marg_crime	crime	0.35775862069,0.64224137931
marg_duty-free-exports	duty-free-exports	0.629310344828,0.370689655172
marg_export-administration-act-south-africa	export-administration-act-south-africa	0.185344827586,0.814655172414
joint_0_aid-to-nicaraguan-contras_adoption-of-the-budget-resolution	aid-to-nicaraguan-contras,adoption-of-the-budget-resolution	0.405172413793,0.0818965517241,0.0646551724138,0.448275862069
joint_1_aid-to-nicaraguan-contras_anti-satellite-test-ban	aid-to-nicaraguan-contras,anti-satellite-test-ban	0.396551724138,0.0905172413793,0.0689655172414,0.443965517241
joint_2_anti-satellite-test-ban_export-administration-act-south-africa	anti-satellite-test-ban,export-administration-act-south-africa	0.181034482759,0.284482758621,0.00431034482759,0.530172413793
joint_3_education-spending_class	education-spending,class	0.198275862069,0.336206896552,0.387931034483,0.0775862068966
joint_4_el-salvador-aid_aid-to-nicaraguan-contras	el-salvador-aid,aid-to-nicaraguan-contras	0.00862068965517,0.439655172414,0.478448275862,0.073275862069
joint_5_el-salvador-aid_duty-free-exports	el-salvador-aid,duty-free-exports	0.146551724138,0.301724137931,0.48275862069,0.0689655172414
cond_class_0	class	0.370967741935,0.629032258065
cond_class_1	class	0.833333333333,0.166666666667
cond_water-project-cost-sharing_0	water-project-cost-sharing	0.666666666667,0.333333333333
cond_water-project-cost-sharing_1	water-project-cost-sharing	0.433070866142,0.566929133858
cond_adoption-of-the-budget-resolution_0	adoption-of-the-budget-resolution	0.83185840708,0.16814159292
cond_adoption-of-the-budget-resolution_1	adoption-of-the-budget-resolution	0.126050420168,0.873949579832
cond_physician-fee-freeze_0	physician-fee-freeze	0.951923076923,0.0480769230769
cond_physician-fee-freeze_1	physician-fee-freeze	0.15625,0.84375
cond_el-salvador-aid_0	el-salvador-aid	0.448275862069,0.551724137931
cond_el-salvador-aid_1	el-salvador-aid	0.448275862069,0.551724137931
cond_religious-groups-in-schools_0	religious-groups-in-schools	0.711538461538,0.288461538462
cond_religious-groups-in-schools_1	religious-groups-in-schools	0.0703125,0.9296875
cond_anti-satellite-test-ban_0	anti-satellite-test-ban	0.814159292035,0.185840707965
cond_anti-satellite-test-ban_1	anti-satellite-test-ban	0.134453781513,0.865546218487
cond_aid-to-nicaraguan-contras_0	aid-to-nicaraguan-contras	0.0192307692308,0.980769230769
cond_aid-to-nicaraguan-contras_1	aid-to-nicaraguan-contras	0.8671875,0.1328125
cond_multi_0	physician-fee-freeze	0.246168591094,0.753831408906
cond_multi_1	el-salvador-aid,mx-missile	0.0428637627433,0.848702502317,0.0965737951807,0.011859939759
cond_multi_2	education-spending	0.941629645566,0.0583703544344
cond_multi_3	adoption-of-the-budget-resolution	0.738118283818,0.261881716182
